,edad,nacionalidad,sexo,inactividad,cnt_readmisiones,estado_civil,tipo_res_nuevo,sit_lab_alumno,sit_lab_padres,estudios_padres,regular
0,40,1,1.0,22,0,3.0,3.0,S,2.0,5.0,S
1,31,1,2.0,13,0,3.0,3.0,S,2.0,3.0,S
2,31,1,2.0,13,0,4.0,3.0,S,-1.0,1.0,S
3,25,1,1.0,7,0,3.0,3.0,S,4.0,7.0,S
4,20,1,1.0,2,0,3.0,3.0,N,2.0,3.0,S
5,20,1,2.0,2,0,3.0,3.0,N,2.0,3.0,S
6,20,1,1.0,2,0,3.0,3.0,S,4.0,5.0,S
7,20,1,2.0,2,0,3.0,-1.0,S,2.0,5.0,S
8,20,1,1.0,2,0,3.0,-1.0,S,2.0,3.0,S
9,20,1,1.0,2,0,1.0,-1.0,S,2.0,3.0,S
10,20,1,2.0,2,0,3.0,-1.0,S,4.0,5.0,S
11,20,1,1.0,2,0,1.0,-1.0,S,4.0,7.0,S
12,20,1,2.0,2,0,1.0,-1.0,S,2.0,7.0,S
13,20,1,1.0,2,0,3.0,-1.0,N,4.0,3.0,S
14,19,1,1.0,1,0,3.0,-1.0,N,-1.0,-1.0,S
15,19,1,1.0,1,0,3.0,-1.0,N,-1.0,-1.0,S
16,19,1,1.0,1,0,1.0,-1.0,N,2.0,3.0,S
17,19,1,2.0,1,0,4.0,-1.0,N,4.0,5.0,S
18,19,1,1.0,1,1,3.0,-1.0,N,2.0,3.0,S
19,19,1,2.0,1,0,3.0,-1.0,N,2.0,3.0,S
20,19,1,2.0,1,0,1.0,-1.0,N,4.0,3.0,S
21,18,1,2.0,0,0,1.0,-1.0,N,4.0,1.0,S
22,18,1,1.0,0,0,1.0,-1.0,S,2.0,-1.0,S
23,18,1,2.0,0,0,1.0,-1.0,N,4.0,5.0,S
24,18,1,1.0,0,0,1.0,-1.0,S,2.0,3.0,S
25,18,1,1.0,0,0,3.0,-1.0,N,4.0,3.0,S
26,18,1,1.0,0,0,3.0,-1.0,N,2.0,3.0,S
27,18,1,2.0,0,0,1.0,-1.0,N,2.0,1.0,S
28,18,1,1.0,0,0,3.0,-1.0,S,-1.0,3.0,S
29,18,1,1.0,0,0,1.0,-1.0,N,-1.0,-1.0,S
30,18,1,1.0,0,0,3.0,-1.0,N,2.0,3.0,S
31,18,1,1.0,0,0,3.0,-1.0,N,2.0,3.0,S
32,18,1,2.0,0,1,3.0,-1.0,N,2.0,3.0,S
33,18,1,2.0,0,0,4.0,-1.0,N,4.0,5.0,S
34,18,1,1.0,0,0,3.0,-1.0,N,-1.0,-1.0,S
