,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
0,FCEQN-877,2,1.0,32,S,1.0,A,1.0,NC,1.0,-1,-1.0,6
1,FCEQN-1294,2,1.0,32,N,2.0,A,1.0,NC,-1.0,-1,-1.0,6
2,FCEQN-1351,1,1.0,32,N,2.0,P,1.0,NC,1.0,-1,-1.0,4
3,FCEQN-1363,2,1.0,32,N,2.0,A,1.0,NC,-1.0,-1,-1.0,1
4,FCEQN-1367,2,1.0,32,S,1.0,A,1.0,NC,4.0,1,3.0,7
5,1527,2,1.0,37,N,0.0,P,1.0,No,4.0,3,5.0,13
6,FCEQN-1532,1,1.0,31,S,0.0,A,1.0,NC,4.0,-1,1.0,0
7,FCEQN-1618,2,1.0,33,N,1.0,P,2.0,1,2.0,3,5.0,1
9,FCEQN-1665,2,1.0,32,S,0.0,P,1.0,NC,2.0,-1,-1.0,9
10,FCEQN-1751,1,-1.0,32,S,0.0,A,1.0,No,4.0,3,5.0,1
11,FCEQN-1829,1,1.0,31,N,0.0,A,1.0,NC,2.0,-1,-1.0,6
12,FCEQN-826,1,1.0,34,N,1.0,A,1.0,NC,-1.0,-1,-1.0,8
13,FCEQN-2150,1,1.0,41,S,0.0,A,1.0,NC,-1.0,-1,-1.0,5
14,1767,2,1.0,41,N,2.0,P,1.0,NC,4.0,-1,-1.0,3
15,FCEQN-1056,1,1.0,41,N,2.0,P,1.0,NC,-1.0,-1,-1.0,0
16,5200,2,1.0,41,N,0.0,P,1.0,NC,-1.0,1,2.0,1
17,1576,1,1.0,41,S,2.0,A,1.0,NC,-1.0,-1,-1.0,1
18,FCEQN-1283,2,1.0,41,S,0.0,P,1.0,NC,3.0,1,5.0,4
19,FCEQN-600,2,1.0,34,N,1.0,A,1.0,No,4.0,3,7.0,10
20,FCEQN-1431,1,1.0,34,N,2.0,A,1.0,NC,-1.0,-1,-1.0,16
21,FCEQN-888,1,1.0,34,N,1.0,P,1.0,NC,1.0,4,3.0,1
22,FCEQN-758,2,1.0,33,S,1.0,P,1.0,NC,3.0,-1,7.0,3
23,FCEQN-1181,1,1.0,33,S,1.0,A,1.0,NC,2.0,-1,-1.0,3
24,1666,2,1.0,33,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
25,1701,2,1.0,33,S,0.0,A,2.0,NC,1.0,-1,-1.0,1
26,1451,2,1.0,33,N,0.0,P,1.0,NC,1.0,-1,-1.0,2
27,5107,1,1.0,33,S,1.0,P,1.0,NC,-1.0,-1,-1.0,0
28,350,2,1.0,49,S,2.0,A,2.0,1,1.0,4,5.0,1
29,FCEQN-2318,2,1.0,30,S,1.0,P,1.0,NC,1.0,-1,-1.0,2
30,FCEQN-2411,2,1.0,30,N,1.0,P,1.0,NC,1.0,-1,-1.0,2
31,FCEQN-2546,1,1.0,30,N,1.0,P,1.0,NC,-1.0,-1,-1.0,0
32,FCEQN-2645,2,1.0,31,N,1.0,P,1.0,NC,1.0,1,3.0,1
33,4772,1,1.0,48,N,0.0,P,2.0,NC,4.0,4,5.0,3
34,FCEQN-3005,2,1.0,32,N,0.0,P,1.0,No,1.0,3,5.0,1
35,FCEQN-3034,2,1.0,31,N,0.0,P,1.0,NC,-1.0,-1,-1.0,1
36,FCEQN-3036,1,1.0,31,N,2.0,A,1.0,NC,4.0,1,3.0,4
37,FCEQN-3162,1,1.0,35,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
38,FCEQN-3240,1,1.0,30,S,1.0,A,1.0,NC,2.0,1,3.0,3
39,FCEQN-895,2,1.0,32,S,1.0,P,1.0,NC,1.0,-1,-1.0,5
40,FCEQN-1810,2,1.0,31,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
41,FCEQN-1992,1,1.0,32,S,1.0,A,1.0,NC,1.0,-1,-1.0,1
42,FCEQN-1777,1,1.0,31,S,1.0,A,1.0,NC,1.0,-1,-1.0,4
43,1764,1,1.0,35,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
44,FCEQN-2270,2,1.0,31,S,2.0,P,1.0,No,1.0,3,4.0,4
45,FCEQN-1213,1,1.0,33,S,2.0,P,1.0,NC,1.0,-1,-1.0,3
46,FCEQN-1963,1,1.0,35,S,2.0,P,1.0,NC,1.0,-1,-1.0,1
47,FCEQN-1165,1,1.0,34,S,0.0,A,1.0,NC,-1.0,-1,-1.0,1
48,1772,2,1.0,35,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
49,FCEQN-3296,2,1.0,29,S,2.0,P,1.0,No,4.0,1,5.0,4
50,FCEQN-3384,1,1.0,32,S,1.0,P,1.0,No,4.0,4,5.0,2
51,FCEQN-3400,2,1.0,32,S,2.0,A,1.0,1,1.0,3,5.0,10
52,FCEQN-3456,2,1.0,30,S,1.0,P,1.0,No,4.0,-1,5.0,3
53,FCEQN-3467,1,1.0,30,S,1.0,A,1.0,NC,2.0,-1,-1.0,2
54,FCEQN-3511,1,1.0,30,N,0.0,P,1.0,No,2.0,3,3.0,0
55,FCEQN-3529,2,1.0,30,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
56,FCEQN-3578,2,1.0,32,N,2.0,A,1.0,NC,1.0,-1,-1.0,5
57,FCEQN-3607,2,1.0,30,S,1.0,P,1.0,NC,4.0,3,5.0,3
58,FCEQN-3657,1,1.0,30,S,1.0,P,1.0,NC,4.0,-1,1.0,3
59,FCEQN-3760,1,1.0,31,N,1.0,P,1.0,No,2.0,3,1.0,0
60,5853,2,1.0,50,N,2.0,A,2.0,NC,1.0,-1,-1.0,3
61,FCEQN-3781,2,1.0,29,N,2.0,A,1.0,No,4.0,4,3.0,2
62,FCEQN-3786,2,1.0,30,N,1.0,P,1.0,No,4.0,3,3.0,8
63,FCEQN-1236,1,1.0,33,S,1.0,A,1.0,NC,1.0,-1,-1.0,5
64,FCEQN-3887,2,1.0,31,N,2.0,P,1.0,No,4.0,3,5.0,3
65,FCEQN-3866,2,1.0,30,N,0.0,P,1.0,NC,4.0,4,1.0,2
67,1711,1,1.0,35,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
68,3260,2,1.0,38,S,0.0,A,1.0,NC,1.0,-1,-1.0,3
69,5222,1,1.0,47,S,1.0,P,2.0,NC,4.0,1,1.0,1
70,5060,1,1.0,47,N,2.0,P,1.0,NC,1.0,-1,-1.0,4
71,FCEQN-3993,2,1.0,29,S,1.0,A,1.0,No,4.0,-1,7.0,4
72,459,1,1.0,29,N,0.0,A,1.0,NC,-1.0,-1,-1.0,1
73,840,2,1.0,29,S,2.0,A,1.0,No,1.0,4,4.0,0
74,1488,2,1.0,29,N,1.0,A,1.0,NC,-1.0,-1,-1.0,2
75,1822,1,1.0,29,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
76,3428,2,1.0,41,S,0.0,P,1.0,1,3.0,1,5.0,4
77,3682,2,1.0,41,S,2.0,P,1.0,NC,3.0,1,2.0,2
78,4305,2,1.0,42,N,2.0,A,1.0,NC,4.0,-1,-1.0,4
79,4865,1,1.0,42,S,1.0,P,2.0,NC,4.0,3,5.0,3
80,6068,2,1.0,42,S,2.0,P,2.0,NC,-1.0,-1,-1.0,1
81,6816,1,1.0,36,N,1.0,P,1.0,NC,1.0,-1,-1.0,3
82,FCEQN-2395,2,1.0,32,S,0.0,A,1.0,NC,1.0,-1,-1.0,6
83,FCEQN-1371,2,1.0,32,S,1.0,P,1.0,NC,4.0,-1,-1.0,9
84,FCEQN-2443,1,1.0,31,S,0.0,P,1.0,NC,4.0,4,3.0,0
85,FCEQN-2771,1,1.0,35,N,1.0,P,1.0,NC,1.0,1,5.0,3
86,FCEQN-731,1,1.0,35,S,1.0,P,1.0,NC,4.0,4,3.0,3
87,FCEQN-2931,2,1.0,31,S,2.0,P,1.0,NC,1.0,-1,-1.0,3
88,1674,1,1.0,36,N,2.0,P,1.0,NC,2.0,1,5.0,2
89,1736,2,1.0,35,S,0.0,A,2.0,No,1.0,1,6.0,1
90,FCEQN-2941,1,1.0,31,N,2.0,P,1.0,NC,4.0,-1,-1.0,2
91,FCEQN-1681,2,1.0,31,S,1.0,A,1.0,No,1.0,3,3.0,4
92,1687,2,1.0,35,N,1.0,P,1.0,NC,1.0,-1,-1.0,0
93,FCEQN-2615,2,1.0,30,S,1.0,A,1.0,NC,2.0,-1,-1.0,13
